timestamp,attack,repeat,n_adversaries,local_epochs,attack_lr,train_loss,before_test_accuracy,before_watermark_accuracy,test_accuracy,test_loss,watermark_accuracy,watermark_loss,model_file
20260630_203300,finetuning,0,1,1,0.01,0.023224768042564393,76.6,99.0,64.13,1.0571312801361084,48.0,1.40132080078125,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203327,finetuning,1,1,1,0.01,0.023459911346435547,76.6,99.0,69.16,0.8905890375137329,52.0,1.2567634963989258,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203354,finetuning,2,1,1,0.01,0.022551581025123595,76.6,99.0,70.76,0.9314417993545532,72.0,0.9101786041259765,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203421,finetuning,3,1,1,0.01,0.02332801103591919,76.6,99.0,54.89,1.327632751083374,16.0,2.7293427276611326,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203512,finetuning,0,10,1,0.01,0.1956749318242074,76.6,99.0,75.56,0.7135353549003601,35.0,1.7031321716308594,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203602,finetuning,1,10,1,0.01,0.205105081319809,76.6,99.0,69.97,0.8947280300140381,35.0,1.8343861389160157,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203653,finetuning,2,10,1,0.01,0.20848413121700285,76.6,99.0,72.07,0.8239858564376831,60.0,1.5430641174316406,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203742,finetuning,3,10,1,0.01,0.1978337815999984,76.6,99.0,69.32,0.9075663301467896,47.0,1.6082089996337892,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_203859,finetuning,0,20,1,0.01,0.3541804766058923,76.6,99.0,77.08,0.6896233820915222,62.0,1.403580093383789,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204015,finetuning,1,20,1,0.01,0.35338938957452765,76.6,99.0,75.53,0.720418860912323,44.0,1.6336143493652344,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204130,finetuning,2,20,1,0.01,0.3485452645421027,76.6,99.0,73.56,0.7839164196968078,59.0,1.5010724639892579,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204245,finetuning,3,20,1,0.01,0.3407861504554749,76.6,99.0,75.17,0.7469571446418762,53.0,1.4612697601318358,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204430,finetuning,0,30,1,0.01,0.48618779885768876,76.6,99.0,77.85,0.6520547391891479,18.0,2.4092356872558596,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204613,finetuning,1,30,1,0.01,0.4974139944911004,76.6,99.0,78.09,0.6561497218132019,34.0,1.9264243316650391,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204755,finetuning,2,30,1,0.01,0.49076407861709626,76.6,99.0,78.85,0.6193474106788636,43.0,1.7097344970703126,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_204938,finetuning,3,30,1,0.01,0.5190482038855555,76.6,99.0,77.69,0.6589712865829468,17.0,2.6844652557373045,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_205144,finetuning,0,40,1,0.01,0.6193854361176492,76.6,99.0,79.51,0.588342049407959,51.0,1.6127355194091797,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_205353,finetuning,1,40,1,0.01,0.6126050348877911,76.6,99.0,76.38,0.683030350112915,42.0,1.9279776000976563,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_205600,finetuning,2,40,1,0.01,0.627725587606429,76.6,99.0,80.46,0.5877699997901916,43.0,1.6643972778320313,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
